id;title;description;due_date;end_date;completed_date;important;deleted
1;withdrawal Avon rich;payment matrices payment;2022-06-18;2022-06-18;2022-06-17;false;true
2;withdrawal;South;2022-06-17;2022-06-18;2022-06-17;false;true
3;calculating PNG;Designer Pakistan Licensed;2022-06-17;2022-06-18;2022-06-17;false;true
4;Clothing copying back-end;Health calculating Car;2022-06-18;2022-06-18;2022-06-17;false;true
5;Fantastic Re-contextualized;programming;2022-06-17;2022-06-17;2022-06-18;true;true
6;multi-tasking;input;2022-06-17;2022-06-18;2022-06-17;false;false
7;Cedi Legacy THX;Concrete;2022-06-18;2022-06-18;2022-06-18;true;false
8;Refined compressing;Marino;2022-06-18;2022-06-18;2022-06-18;true;false
9;Consultant;Shirt purple Reduced;2022-06-17;2022-06-18;2022-06-18;false;true
10;Developer Paradigm Kroon;Facilitator definition;2022-06-18;2022-06-18;2022-06-18;true;true
